"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1397",1028.4704822282,3.13881425072992,0.603769820904324,5.19869351208814,2.00694120727218e-07,4.2177621562355e-06
"g1175",50.5755458175485,-2.99327528830715,0.577440245255979,-5.18369703687734,2.17530186242743e-07,4.50015572789675e-06
"g22",529.522884053931,-2.0562804041535,0.397877523676055,-5.16812406278996,2.36455337011502e-07,4.81641332620352e-06
"g1334",71.0849359301493,3.72619778765946,0.725614352474667,5.13523164881108,2.81796708279841e-07,5.65301275397742e-06
"g1673",26.6945754553277,6.40399943221045,1.25761137106636,5.0921926912766,3.53946110449525e-07,6.97267241628251e-06
"g1746",67.1566811960204,-4.56484633708864,0.896831017421582,-5.0899737502531,3.58113084824177e-07,6.97267241628251e-06
"g1667",31.5857353524989,5.08370011688953,1.0003101836636,5.08212372513358,3.73238158972106e-07,7.16184525331982e-06
"g20",355.593434755005,-2.45962713310186,0.485646434048373,-5.0646457188994,4.09160560741538e-07,7.7389797488828e-06
"g1638",5008.93193345504,3.0567037746887,0.607030891014268,5.03549954365807,4.76604264620027e-07,8.88766262474528e-06
"g1188",778.82583768692,-3.04112774276325,0.607481401176416,-5.00612485727788,5.55367403423956e-07,1.02125894740739e-05
"g1201",290.363016270099,-3.62052106360827,0.724184346991642,-4.99944672740911,5.74950543592439e-07,1.04278701331012e-05
"g1495",1120.09347862185,-3.97314747244845,0.796888527882903,-4.98582591344855,6.16976796891171e-07,1.10388821497826e-05
"g1528",516.711613721104,-1.72442932000502,0.351202906945565,-4.91006562275494,9.10459198317398e-07,1.60726397142965e-05
"g873",1038.57382371287,-1.61424626995422,0.331680403738589,-4.86687260314142,1.13378061702339e-06,1.97516518018286e-05
"g1712",964.480124158754,-1.71889034795092,0.353729678813703,-4.8593331317732,1.17781805651856e-06,2.02523520367606e-05
"g1660",48.5223680779788,-2.21665428673529,0.462332351158204,-4.79450395626062,1.63077846410292e-06,2.76814190573368e-05
"g744",320.261550199109,-1.82937162277629,0.382687796420402,-4.78032390864807,1.75012993022655e-06,2.93312914888602e-05
"g1232",504.567654504771,-2.84282256267919,0.596589578021136,-4.76512273665377,1.88738725635569e-06,3.12362590926867e-05
"g193",189.605453945577,-2.13508704953234,0.449448304032656,-4.75046191158219,2.0295252034975e-06,3.31739675238357e-05
"g696",1727.64558210253,-2.01058445621243,0.423785160263821,-4.74434842164074,2.09178541940552e-06,3.37746816499135e-05
"g55",284.946777614112,1.82879393000378,0.388386396201063,4.70869718376294,2.49305119307022e-06,3.97686720436744e-05
"g1466",500.960098326914,-2.42263831861638,0.515336826791428,-4.7010774170752,2.58792368812748e-06,4.07906067033427e-05
"g589",533.431946138993,-2.32230622771687,0.496088178244035,-4.68123678322059,2.85149351056033e-06,4.44162047997868e-05
"g907",1625.48321650528,1.95926497723089,0.421915438854529,4.64373852388565,3.42160550779126e-06,5.15111418163371e-05
"g1636",14309.0012657642,3.07208450745654,0.661572167469612,4.64361207819048,3.42370126875956e-06,5.15111418163371e-05
"g1770",96.3502504674643,2.89996292622971,0.624426636545035,4.64420118634794,3.41394763786741e-06,5.15111418163371e-05
"g1007",832.830499719714,1.65834813713976,0.357458533055528,4.63927416409485,3.49634970013755e-06,5.18748114629695e-05
"g1619",513.968680664125,1.46581407807523,0.316077497585002,4.63751481606512,3.52623340760367e-06,5.18748114629695e-05
"g215",321.956114360111,-2.08678107908745,0.451036340555155,-4.62663624070502,3.71652422363572e-06,5.34856312184097e-05
"g1309",1803.78931824001,2.47585316637099,0.534990347243865,4.62784642587658,3.69487839734421e-06,5.34856312184097e-05
"g1391",264.736948233227,3.44889094367963,0.7486473693409,4.60682971038286,4.0885455725557e-06,5.82068208393952e-05
"g568",373.371597447077,-2.08036251361612,0.452805940362239,-4.59437990577566,4.340380056852e-06,6.11347148433197e-05
"g207",23.2211252065823,2.84647083037734,0.62176419615881,4.57805523052393,4.69318792765464e-06,6.47129871078558e-05
"g322",9.65602090903427,6.81632030396507,1.48894034363139,4.57796736660429,4.69515916109311e-06,6.47129871078558e-05
"g1773",696.794937574406,-1.66991675025855,0.364934824474227,-4.57593147670808,4.7410572125846e-06,6.47129871078558e-05
"g188",52.3554240964913,-3.9615420341471,0.867636532387298,-4.56590045055726,4.97354766025111e-06,6.71936438997191e-05
"g1453",356.550901221024,-1.55579879474137,0.341361501991118,-4.55762816154311,5.17345224001748e-06,6.84965076578314e-05
"g1485",320.442471442917,-2.14700758033433,0.471051782123131,-4.55790140662944,5.16672797102944e-06,6.84965076578314e-05
"g1537",569.677553930215,-1.27306958387157,0.283571923390652,-4.48940631586355,7.14219497780115e-06,9.36263975307794e-05
"g447",40.4225968519968,-4.73879579104815,1.05924145968675,-4.47376351039879,7.68547408986927e-06,9.87919193688049e-05
"g877",253.122383829835,-3.75529585537527,0.839136496728252,-4.47519071094746,7.63431383390269e-06,9.87919193688049e-05
"g1529",400.220519507904,1.80485070358443,0.404240795130566,4.46479109809164,8.01469125531221e-06,0.000102033184827244
"g1122",77.3334764059461,5.24240357984911,1.17713358603485,4.45353326253144,8.44686151532795e-06,0.000106510901393278
"g256",213.322152746782,-1.90746795945078,0.428649955517481,-4.44994321100073,8.58929985513012e-06,0.000107285217058418
"g730",417.13501476139,-1.67009146124636,0.378319711168398,-4.41449761126236,1.01244833925574e-05,0.000125278654315383
"g874",546.087177902687,1.35217258549934,0.306772528608521,4.40773687146177,1.04456336230337e-05,0.000128055730712006
