"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g424",111.165833142063,96.8333877984652,62.1913838542983,46.009198911879,96.8771773919646,88.3312686716603
"g425",628.239937756978,465.722484173571,848.780999363592,2259.9718505515,2315.22413796159,1438.17026759587
"g426",0,4.61111370468882,2.62780495159007,4.60091989118791,0,1.71517026546913
"g427",9.17883025943636,3.68889096375105,7.88341485477021,33.1266232165529,39.3124777822465,15.4365323892222
"g430",48.9537613836606,27.6666822281329,17.5186996772671,111.342261366747,165.674013510896,38.5913309730555
"g438",2337.54210606979,2788.8015685958,2792.48072855638,2406.28110309127,3556.37522222966,3493.80183076062
"g439",1392.12258934785,1426.67858023072,1525.0028069061,1244.08873857721,1990.89619625806,1637.13001839029
"g440",1446.17570087564,1182.28955388221,2018.15420282117,1495.29896463607,1825.22218274716,1645.70586971763
"g447",192.755435448164,19.366677559693,21.8983745965839,3.68073591295032,1.40401706365166,3.43034053093827
"g452",6.11922017295758,6.45555918656434,2.62780495159007,0.920183978237581,0,3.43034053093827
"g453",25.4967507206566,38.7333551193861,18.3946346611305,19.3238635429892,2.80803412730332,49.7399376986048
"g454",1654.2291867562,1323.38963324569,1501.35256234179,3010.84197679336,2677.46054038372,2201.42103572963
"g455",319.21931902262,305.2557272504,262.780495159007,202.440475212268,131.977603983256,224.687304776456
"g456",365.113470319802,76.5444874978344,99.8565881604226,38.6477270859784,35.1004265912915,89.1888538043949
"g457",40.7948011530505,44.2666915650126,31.5336594190808,15.6431276300389,16.8482047638199,21.4396283183642
"g458",236.609846687693,169.688984332549,131.390247579503,96.619317714946,70.2008531825831,147.504642830345
"g459",372.252560521586,547.800308117032,360.009278367839,567.753514572587,905.591006055321,512.835909375271
"g460",195.815045534642,253.611253757885,214.604071046522,524.504867595421,874.702630654985,398.777086721573
"g461",31.6159708936141,115.27784261722,88.469433370199,8.28165580413823,14.0401706365166,28.3003093802407
"g462",382.451260809849,372.577987338856,431.835947044635,507.941555987145,450.689477432183,361.043340881252
"g463",14.2781804035677,5.53333644562658,10.5112198063603,4.60091989118791,14.0401706365166,3.43034053093827
"g464",4.07948011530505,5.53333644562658,0.875934983863356,8.28165580413823,0,2.5727553982037
"g465",42.834541210703,25.8222367462574,10.5112198063603,52.4504867595421,105.301279773875,27.4427242475061
"g466",1117.77755159358,1835.22325446615,1671.28394921128,4242.96832365349,5543.05936729676,3260.53867465682
"g467",49.9736314124869,42.4222460831371,62.1913838542983,111.342261366747,148.825808747076,99.4798753972097
"g469",1198.34728387086,2472.47916845414,2756.56739421798,1156.67126064464,680.948275871056,1812.07738546814
"g471",419.166581847594,545.955862635156,470.377086334622,435.247021706376,432.437255604712,413.356033978061
"g472",2964.76217379795,1792.80100838301,2287.94217785109,2218.56357153081,2494.938322109,2273.45818687934
"g475",4095.79803576627,6296.01465238211,6983.82962634254,3838.08737322895,5569.73569150614,3721.91947606802
"g476",1146.33391240072,442.666915650126,762.06343596112,749.949942263628,666.908105234539,476.817333800419
